# 2026년 2주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-01-05 09:26:27
# 회사: CMP 인프라
# 담당팀: 플랫폼팀
# 총 점검항목: 93
# 정상: 86 / 경고: 4 / 위험: 3 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-006,로드 애버리지,DEV Master,DEV,Master #3,1분 평균 로드 확인,정상,0.40,8.0,정상 범위,medium,2026-01-05T09:26:14.990178
OS-007,열린 파일 수,DEV Master,DEV,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,3392,100000개,정상 범위,low,2026-01-05T09:26:15.199707
OS-008,네트워크 연결,DEV Master,DEV,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,837,2000개,정상 범위,low,2026-01-05T09:26:15.426237
OS-009,커널 버전,DEV Master,DEV,Master #3,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2026-01-05T09:26:15.636527
OS-001,디스크 사용량,DEV Worker,DEV,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,58,80%,정상 범위,high,2026-01-05T09:26:16.362310
OS-002,메모리 사용량,DEV Worker,DEV,Worker #1,시스템 메모리 사용률 확인,정상,45.0,85%,정상 범위,high,2026-01-05T09:26:16.587644
OS-003,CPU 사용량,DEV Worker,DEV,Worker #1,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2026-01-05T09:26:16.993309
OS-004,시스템 업타임,DEV Worker,DEV,Worker #1,시스템 가동 시간 확인,정상,up 12 minutes,-,정보 수집 완료,info,2026-01-05T09:26:17.214320
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #1,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-05T09:26:17.455229
OS-006,로드 애버리지,DEV Worker,DEV,Worker #1,1분 평균 로드 확인,정상,1.12,8.0,정상 범위,medium,2026-01-05T09:26:17.671122
OS-007,열린 파일 수,DEV Worker,DEV,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,6176,100000개,정상 범위,low,2026-01-05T09:26:17.896700
OS-008,네트워크 연결,DEV Worker,DEV,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,63,2000개,정상 범위,low,2026-01-05T09:26:18.128102
OS-009,커널 버전,DEV Worker,DEV,Worker #1,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2026-01-05T09:26:18.342612
OS-001,디스크 사용량,DEV Worker,DEV,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,55,80%,정상 범위,high,2026-01-05T09:26:18.964721
OS-002,메모리 사용량,DEV Worker,DEV,Worker #2,시스템 메모리 사용률 확인,정상,43.5,85%,정상 범위,high,2026-01-05T09:26:19.197024
OS-003,CPU 사용량,DEV Worker,DEV,Worker #2,CPU 평균 사용률 확인,정상,6,90%,정상 범위,high,2026-01-05T09:26:19.628390
OS-004,시스템 업타임,DEV Worker,DEV,Worker #2,시스템 가동 시간 확인,정상,up 10 minutes,-,정보 수집 완료,info,2026-01-05T09:26:19.870560
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #2,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-05T09:26:20.157627
OS-006,로드 애버리지,DEV Worker,DEV,Worker #2,1분 평균 로드 확인,정상,1.20,8.0,정상 범위,medium,2026-01-05T09:26:20.384795
OS-007,열린 파일 수,DEV Worker,DEV,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,4544,100000개,정상 범위,low,2026-01-05T09:26:20.601033
OS-008,네트워크 연결,DEV Worker,DEV,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,58,2000개,정상 범위,low,2026-01-05T09:26:20.842822
OS-009,커널 버전,DEV Worker,DEV,Worker #2,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2026-01-05T09:26:21.067190
OS-001,디스크 사용량,DEV Worker,DEV,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,58,80%,정상 범위,high,2026-01-05T09:26:21.613568
OS-002,메모리 사용량,DEV Worker,DEV,Worker #3,시스템 메모리 사용률 확인,정상,33.2,85%,정상 범위,high,2026-01-05T09:26:21.840127
OS-003,CPU 사용량,DEV Worker,DEV,Worker #3,CPU 평균 사용률 확인,정상,1,90%,정상 범위,high,2026-01-05T09:26:22.235197
OS-004,시스템 업타임,DEV Worker,DEV,Worker #3,시스템 가동 시간 확인,정상,up 9 minutes,-,정보 수집 완료,info,2026-01-05T09:26:22.466796
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-01-05T09:26:22.714021
OS-006,로드 애버리지,DEV Worker,DEV,Worker #3,1분 평균 로드 확인,정상,1.12,8.0,정상 범위,medium,2026-01-05T09:26:22.931140
OS-007,열린 파일 수,DEV Worker,DEV,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,3744,100000개,정상 범위,low,2026-01-05T09:26:23.157767
OS-008,네트워크 연결,DEV Worker,DEV,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,45,2000개,정상 범위,low,2026-01-05T09:26:23.389431
OS-009,커널 버전,DEV Worker,DEV,Worker #3,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2026-01-05T09:26:23.614405
K8S-001,노드 상태,Kubernetes,DEV,DEV Cluster,모든 노드 Ready 상태 확인,정상,"ssg-master01:Ready
ssg-master02:Ready
ssg-master03:Ready
ssg-worker01:Ready
ssg-worker02:Ready
ssg-worker03:Ready",-,모두 정상 (6/6),critical,2026-01-05T09:26:23.694772
K8S-002,노드 CPU 사용량,Kubernetes,DEV,DEV Cluster,노드별 CPU 사용률,정상,"ssg-master01:10
ssg-master02:8
ssg-master03:8
ssg-worker01:8
ssg-worker02:7
ssg-worker03:5",80%,정상 범위,high,2026-01-05T09:26:23.793803
K8S-003,노드 메모리 사용량,Kubernetes,DEV,DEV Cluster,노드별 메모리 사용률,정상,"ssg-master01:25
ssg-master02:23
ssg-master03:20
ssg-worker01:51
ssg-worker02:50
ssg-worker03:37",80%,정상 범위,high,2026-01-05T09:26:23.867127
K8S-004,Control Plane Pod 상태,Kubernetes,DEV,DEV Cluster,kube-system 네임스페이스 Pod 상태,정상,"cilium-5fwn7:Running
cilium-5spz9:Running
cilium-9vfmc:Running
cilium-b7h48:Running
cilium-envoy-4g4c9:Running
cilium-envoy-d9j92:Running
cilium-envoy-hpqtf:Running
cilium-envoy-p9h5m:Running
cilium-e",-,모두 정상 (36/36),critical,2026-01-05T09:26:23.958721
K8S-005,PV 상태,Kubernetes,DEV,DEV Cluster,PersistentVolume 바인딩 상태,정상,"pvc-0d833af4-7f90-4c55-b78e-ea049c5b9a23:Bound
pvc-0ffcf53c-99de-444e-9745-a76c0aaf08b1:Bound
pvc-1acedf27-b8f8-4144-beb7-4a89b165d04d:Bound
pvc-205d4e04-70d4-446c-9a28-57463423f261:Bound
pvc-3b9f457d",-,모두 정상 (24/24),high,2026-01-05T09:26:24.032857
K8S-006,PVC 상태,Kubernetes,DEV,DEV Cluster,PersistentVolumeClaim 바인딩 상태,정상,"data-my-mariadb-0:Bound
elasticsearch-master-elasticsearch-master-0:Bound
elasticsearch-master-elasticsearch-master-1:Bound
elasticsearch-master-elasticsearch-master-2:Bound
data-harbor-redis-0:Bound
",-,모두 정상 (24/24),high,2026-01-05T09:26:24.110807
K8S-007,Warning 이벤트,Kubernetes,DEV,DEV Cluster,최근 Warning 이벤트 수,위험,746,20개,임계치 초과 (20),medium,2026-01-05T09:26:24.356535
K8S-008,NotReady 노드,Kubernetes,DEV,DEV Cluster,NotReady 상태 노드 수,정상,"0
0",-,정상,critical,2026-01-05T09:26:24.426190
K8S-009,클러스터 버전,Kubernetes,DEV,DEV Cluster,Kubernetes 클러스터 버전,정상,N/A,-,정보 수집 완료,info,2026-01-05T09:26:24.474073
SVC-001,Deployment 상태,Services,DEV,DEV Services,모든 Deployment Ready 상태,경고,"dns-autoscaler:0/1
loki-read:2/3",-,불일치 리소스 2개,high,2026-01-05T09:26:24.590572
SVC-002,StatefulSet 상태,Services,DEV,DEV Services,모든 StatefulSet Ready 상태,경고,elasticsearch-master:2/3,-,불일치 리소스 1개,high,2026-01-05T09:26:24.672441
SVC-003,DaemonSet 상태,Services,DEV,DEV Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-01-05T09:26:24.758524
SVC-004,Service Endpoints,Services,DEV,DEV Services,Endpoint 없는 Service 수,정상,0,-,정상,medium,2026-01-05T09:26:24.844306
SVC-005,Ingress 상태,Services,DEV,DEV Services,Ingress 리소스 수,정상,8,-,정보 수집 완료,info,2026-01-05T09:26:24.970221
SVC-006,Pod 재시작 과다,Services,DEV,DEV Services,재시작 5회 이상 Pod,위험,"harbor-core-57547bd5fc-8hr5c:10
cilium-envoy-d9j92:5
cilium-envoy-wjx5h:6
coredns-5f7f998558-bznnn:46
coredns-5f7f998558-sjkkw:45
kube-apiserver-ssg-master01:5
kube-apiserver-ssg-master02:5
kube-apise",-,즉시 조치 필요 (57547.0개),medium,2026-01-05T09:26:25.158192
SVC-007,Pending Pod,Services,DEV,DEV Services,Pending 상태 Pod 수,경고,1,-,주의 필요 (1.0개),high,2026-01-05T09:26:25.231658
SVC-008,Failed Pod,Services,DEV,DEV Services,Failed 상태 Pod 수,정상,0,-,정상,critical,2026-01-05T09:26:25.306648
SVC-009,CronJob 상태,Services,DEV,DEV Services,CronJob 개수,정상,0,-,정보 수집 완료,info,2026-01-05T09:26:25.379922
SVC-010,Failed Job,Services,DEV,DEV Services,Failed 상태 Job 수,정상,0,-,정상,medium,2026-01-05T09:26:25.454327
APP-ARGO-01,ArgoCD Server,ArgoCD,DEV,DEV Apps,ArgoCD 웹 서버 정상 작동 확인,정상,1,1개,정상 (현재 1개),critical,2026-01-05T09:26:25.542731
APP-HBR-01,Harbor Core,Harbor,DEV,DEV Apps,Harbor Core 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-01-05T09:26:25.643221
APP-HBR-02,Harbor Registry,Harbor,DEV,DEV Apps,Docker Registry 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-01-05T09:26:25.713085
APP-CEPH-01,Ceph Manager,Storage,DEV,DEV Apps,Rook Ceph Manager 활성 상태,정상,2,1개,정상 (현재 2개),critical,2026-01-05T09:26:25.786150
APP-CEPH-02,Ceph OSD 상태,Storage,DEV,DEV Apps,OSD(디스크) 파드 정상 작동 수,정상,3,3개,정상 (현재 3개),high,2026-01-05T09:26:25.860445
APP-MON-01,Grafana,Monitoring,DEV,DEV Apps,Grafana 대시보드 파드 상태,정상,1,1개,정상 (현재 1개),medium,2026-01-05T09:26:25.931249
APP-ELK-01,Elasticsearch Master,Logging,DEV,DEV Apps,Elasticsearch 마스터 노드 수,위험,2,3개,개수 부족 (현재 2/3),high,2026-01-05T09:26:26.008049
APP-KEY-01,Keycloak,Auth,DEV,DEV Apps,Keycloak 인증 서버 상태,정상,1,1개,정상 (현재 1개),critical,2026-01-05T09:26:26.082926
APP-LOKI-01,Loki Gateway,Logging,DEV,DEV Apps,Loki Gateway 서비스 상태,정상,1,1개,정상 (현재 1개),high,2026-01-05T09:26:26.153859
APP-LOKI-02,Loki Write/Read,Logging,DEV,DEV Apps,Loki 읽기/쓰기 노드 상태,정상,6,2개,정상 (현재 6개),medium,2026-01-05T09:26:26.238077
APP-NEX-01,Nexus,CICD,DEV,DEV Apps,Nexus Repository 상태,정상,1,1개,정상 (현재 1개),high,2026-01-05T09:26:26.309664
APP-RABBIT-01,RabbitMQ,Middleware,DEV,DEV Apps,RabbitMQ 메시지 브로커 상태,정상,1,1개,정상 (현재 1개),high,2026-01-05T09:26:26.380648
APP-SONAR-01,SonarQube,CICD,DEV,DEV Apps,SonarQube 서버 상태,정상,1,1개,정상 (현재 1개),medium,2026-01-05T09:26:26.450783
APP-TRAEFIK-01,Traefik,Ingress,DEV,DEV Apps,Traefik Ingress Controller 상태,정상,1,1개,정상 (현재 1개),critical,2026-01-05T09:26:26.522062
SW-VER-01,Kubernetes 버전,SW Version,DEV,ssg-master01,Kubelet 버전 확인 (Node 레벨),정상,v1.33.5,-,버전 정보,info,2026-01-05T09:26:26.941664
SW-VER-02,Containerd 버전,SW Version,DEV,ssg-master01,Containerd 런타임 버전 확인,정상,v2.1.4,-,버전 정보,info,2026-01-05T09:26:27.169646
SW-VER-03,전체 Pod 이미지 현황,SW Version,DEV,DEV Cluster,클러스터 내 구동 중인 모든 Pod의 이미지 태그 추출,정상,총 128개 이미지 (상세 생략),-,이미지 128개 추출 완료,info,2026-01-05T09:26:27.597022
STG-DTL-01,PVC 목록 및 상태,Storage Detail,DEV,DEV Cluster,전체 PVC의 바인딩 상태 및 용량 확인,정상,"databases/data-my-mariadb-0 : 8Gi (RWO)
elk/elasticsearch-master-elasticsearch-master-0 : 20Gi (RWO)
elk/elasticsearch-master-elasticsearch-master-1 : 20Gi (RWO)
elk/elasticsearch-master-elasticsearch-master-2 : 20Gi (RWO)
harbor/data-harbor-redis-0 : 1Gi (RWO)
harbor/data-harbor-trivy-0 : 5Gi (RWO)
harbor/database-data-harbor-database-0 : 1Gi (RWO)
harbor/harbor-jobservice : 1Gi (RWO)
harbor/harbor-registry : 30Gi (RWX)
keycloak/data-keycloak-postgres-0 : 8Gi (RWO)
keycloak/keycloak : 1Gi (RWO)
loki/data-loki-backend-0 : 10Gi (RWO)
loki/data-loki-backend-1 : 10Gi (RWO)
loki/data-loki-backend-2 : 10Gi (RWO)
loki/data-loki-write-0 : 10Gi (RWO)
loki/data-loki-write-1 : 10Gi (RWO)
loki/data-loki-write-2 : 10Gi (RWO)
loki/export-0-loki-minio-0 : 10Gi (RWO)
loki/export-1-loki-minio-0 : 10Gi (RWO)
monitoring/prometheus-prometheus-stack-kube-prom-prometheus-db-prometheus-prometheus-stack-kube-prom-prometheus-0 : 30Gi (RWO)
nexus/nexus-data : 8Gi (RWO)
rabbitmq/data-rabbitmq-0 : 8Gi (RWO)
sonarqube/data-sonarqube-postgresql-0 : 20Gi (RWO)
sonarqube/sonarqube-sonarqube : 5Gi (RWO)",-,스토리지 할당 현황,info,2026-01-05T09:26:27.669833
