# 2025년 49주차 CMP 인프라 정기점검 보고서
# 생성일시: 2025-12-04 11:07:28
# 회사: CMP 인프라
# 담당팀: 플랫폼팀
# 총 점검항목: 79
# 정상: 76 / 경고: 2 / 위험: 1 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-009,네트워크 연결,DEV Worker,DEV,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,26,2000개,정상 범위,low,2025-12-04T11:07:24.585454
OS-010,커널 버전,DEV Worker,DEV,Worker #2,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2025-12-04T11:07:24.786231
OS-001,디스크 사용량,DEV Worker,DEV,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,43,80%,정상 범위,high,2025-12-04T11:07:25.222689
OS-002,메모리 사용량,DEV Worker,DEV,Worker #3,시스템 메모리 사용률 확인,정상,15.2,85%,정상 범위,high,2025-12-04T11:07:25.454956
OS-003,CPU 사용량,DEV Worker,DEV,Worker #3,CPU 평균 사용률 확인,정상,2,90%,정상 범위,high,2025-12-04T11:07:25.835101
OS-004,시스템 업타임,DEV Worker,DEV,Worker #3,시스템 가동 시간 확인,정상,"up 3 days, 2 hours, 22 minutes",-,정보 수집 완료,info,2025-12-04T11:07:26.049401
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2025-12-04T11:07:26.289106
OS-006,로드 애버리지,DEV Worker,DEV,Worker #3,1분 평균 로드 확인,정상,0.86,8.0,정상 범위,medium,2025-12-04T11:07:26.519910
OS-007,Swap 사용량,DEV Worker,DEV,Worker #3,Swap 메모리 사용률 확인,정상,0,50%,정상 범위,medium,2025-12-04T11:07:26.740240
OS-008,열린 파일 수,DEV Worker,DEV,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,2464,100000개,정상 범위,low,2025-12-04T11:07:26.973223
OS-009,네트워크 연결,DEV Worker,DEV,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,24,2000개,정상 범위,low,2025-12-04T11:07:27.203100
OS-010,커널 버전,DEV Worker,DEV,Worker #3,현재 커널 버전 정보,정상,5.14.0-570.58.1.el9_6.x86_64,-,정보 수집 완료,info,2025-12-04T11:07:27.415900
K8S-001,노드 상태,Kubernetes,DEV,DEV Cluster,모든 노드 Ready 상태 확인,정상,"ssg-master01:Ready
ssg-master02:Ready
ssg-master03:Ready
ssg-worker01:Ready
ssg-worker02:Ready
ssg-worker03:Ready",-,모두 정상 (6/6),critical,2025-12-04T11:07:27.493834
K8S-002,노드 CPU 사용량,Kubernetes,DEV,DEV Cluster,노드별 CPU 사용률,정상,"ssg-master01:7
ssg-master02:5
ssg-master03:4
ssg-worker01:5
ssg-worker02:6
ssg-worker03:3",80%,정상 범위,high,2025-12-04T11:07:27.573307
K8S-003,노드 메모리 사용량,Kubernetes,DEV,DEV Cluster,노드별 메모리 사용률,정상,"ssg-master01:18
ssg-master02:15
ssg-master03:15
ssg-worker01:22
ssg-worker02:22
ssg-worker03:18",80%,정상 범위,high,2025-12-04T11:07:27.645169
K8S-004,Control Plane Pod 상태,Kubernetes,DEV,DEV Cluster,kube-system 네임스페이스 Pod 상태,정상,"cilium-7ftrl:Running
cilium-8jdjz:Running
cilium-envoy-4s5x8:Running
cilium-envoy-7jzfk:Running
cilium-envoy-9vhxv:Running
cilium-envoy-rzfd8:Running
cilium-envoy-zsjql:Running
cilium-envoy-zz5mj:Runn",-,모두 정상 (36/36),critical,2025-12-04T11:07:27.759124
K8S-005,PV 상태,Kubernetes,DEV,DEV Cluster,PersistentVolume 바인딩 상태,정상,"pvc-99cf35f2-70d1-416e-b610-a8089dabe5f0:Bound
pvc-b41b76a9-64b6-4231-8bd0-d06922ee12e8:Bound",-,모두 정상 (2/2),high,2025-12-04T11:07:27.840213
K8S-006,PVC 상태,Kubernetes,DEV,DEV Cluster,PersistentVolumeClaim 바인딩 상태,정상,"data-my-mariadb-0:Bound
elasticsearch-master-elasticsearch-master-0:Bound",-,모두 정상 (2/2),high,2025-12-04T11:07:27.911505
K8S-007,Warning 이벤트,Kubernetes,DEV,DEV Cluster,최근 Warning 이벤트 수,정상,13,20개,정상 범위,medium,2025-12-04T11:07:27.984171
K8S-008,NotReady 노드,Kubernetes,DEV,DEV Cluster,NotReady 상태 노드 수,정상,"0
0",-,정상,critical,2025-12-04T11:07:28.052774
K8S-009,클러스터 버전,Kubernetes,DEV,DEV Cluster,Kubernetes 클러스터 버전,정상,N/A,-,정보 수집 완료,info,2025-12-04T11:07:28.099705
SVC-001,Deployment 상태,Services,DEV,DEV Services,모든 Deployment Ready 상태,경고,grafana:0/1,-,불일치 리소스 1개,high,2025-12-04T11:07:28.201190
SVC-002,StatefulSet 상태,Services,DEV,DEV Services,모든 StatefulSet Ready 상태,경고,elasticsearch-master:0/1,-,불일치 리소스 1개,high,2025-12-04T11:07:28.270014
SVC-003,DaemonSet 상태,Services,DEV,DEV Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2025-12-04T11:07:28.338670
SVC-004,Service Endpoints,Services,DEV,DEV Services,Endpoint 없는 Service 수,정상,0,-,정상,medium,2025-12-04T11:07:28.415101
SVC-005,Ingress 상태,Services,DEV,DEV Services,Ingress 리소스 수,정상,0,-,정보 수집 완료,info,2025-12-04T11:07:28.487614
SVC-006,Pod 재시작 과다,Services,DEV,DEV Services,재시작 5회 이상 Pod,정상,0,-,정상,medium,2025-12-04T11:07:28.620433
SVC-007,Pending Pod,Services,DEV,DEV Services,Pending 상태 Pod 수,위험,4,-,즉시 조치 필요 (4.0개),high,2025-12-04T11:07:28.696252
SVC-008,Failed Pod,Services,DEV,DEV Services,Failed 상태 Pod 수,정상,0,-,정상,critical,2025-12-04T11:07:28.767358
SVC-009,CronJob 상태,Services,DEV,DEV Services,CronJob 개수,정상,0,-,정보 수집 완료,info,2025-12-04T11:07:28.824813
SVC-010,Failed Job,Services,DEV,DEV Services,Failed 상태 Job 수,정상,0,-,정상,medium,2025-12-04T11:07:28.891933
