# 2025년 49주차 CMP 인프라 정기점검 보고서
# 생성일시: 2025-12-04 07:46:19
# 회사: CMP 인프라
# 담당팀: 플랫폼팀
# 총 점검항목: 255
# 정상: 255 / 경고: 0 / 위험: 0 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-006,로드 애버리지,DEV Master,DEV,Master #2,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.337787
OS-007,Swap 사용량,DEV Master,DEV,Master #2,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.337791
OS-008,열린 파일 수,DEV Master,DEV,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.337795
OS-009,네트워크 연결,DEV Master,DEV,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.337799
OS-010,커널 버전,DEV Master,DEV,Master #2,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.337803
OS-001,디스크 사용량,DEV Master,DEV,Master #3,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.337808
OS-002,메모리 사용량,DEV Master,DEV,Master #3,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.337812
OS-003,CPU 사용량,DEV Master,DEV,Master #3,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.337816
OS-004,시스템 업타임,DEV Master,DEV,Master #3,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.337820
OS-005,좀비 프로세스,DEV Master,DEV,Master #3,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.337824
OS-006,로드 애버리지,DEV Master,DEV,Master #3,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.337828
OS-007,Swap 사용량,DEV Master,DEV,Master #3,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.337832
OS-008,열린 파일 수,DEV Master,DEV,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.337836
OS-009,네트워크 연결,DEV Master,DEV,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.337841
OS-010,커널 버전,DEV Master,DEV,Master #3,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.337845
OS-001,디스크 사용량,DEV Worker,DEV,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.337852
OS-002,메모리 사용량,DEV Worker,DEV,Worker #1,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.337858
OS-003,CPU 사용량,DEV Worker,DEV,Worker #1,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.337865
OS-004,시스템 업타임,DEV Worker,DEV,Worker #1,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.337873
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #1,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.337877
OS-006,로드 애버리지,DEV Worker,DEV,Worker #1,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.337881
OS-007,Swap 사용량,DEV Worker,DEV,Worker #1,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.337885
OS-008,열린 파일 수,DEV Worker,DEV,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.337889
OS-009,네트워크 연결,DEV Worker,DEV,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.337893
OS-010,커널 버전,DEV Worker,DEV,Worker #1,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.337897
OS-001,디스크 사용량,DEV Worker,DEV,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.337902
OS-002,메모리 사용량,DEV Worker,DEV,Worker #2,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.337906
OS-003,CPU 사용량,DEV Worker,DEV,Worker #2,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.337910
OS-004,시스템 업타임,DEV Worker,DEV,Worker #2,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.337914
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #2,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.337918
OS-006,로드 애버리지,DEV Worker,DEV,Worker #2,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.337922
OS-007,Swap 사용량,DEV Worker,DEV,Worker #2,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.337926
OS-008,열린 파일 수,DEV Worker,DEV,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.337938
OS-009,네트워크 연결,DEV Worker,DEV,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.337943
OS-010,커널 버전,DEV Worker,DEV,Worker #2,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.337947
OS-001,디스크 사용량,DEV Worker,DEV,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.337951
OS-002,메모리 사용량,DEV Worker,DEV,Worker #3,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.337955
OS-003,CPU 사용량,DEV Worker,DEV,Worker #3,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.337959
OS-004,시스템 업타임,DEV Worker,DEV,Worker #3,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.337964
OS-005,좀비 프로세스,DEV Worker,DEV,Worker #3,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.337968
OS-006,로드 애버리지,DEV Worker,DEV,Worker #3,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.337972
OS-007,Swap 사용량,DEV Worker,DEV,Worker #3,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.337976
OS-008,열린 파일 수,DEV Worker,DEV,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.337980
OS-009,네트워크 연결,DEV Worker,DEV,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.337984
OS-010,커널 버전,DEV Worker,DEV,Worker #3,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.337988
K8S-001,노드 상태,Kubernetes,DEV,DEV Cluster,모든 노드 Ready 상태 확인,정상,"master-01:Ready
master-02:Ready
master-03:Ready
worker-01:Ready
worker-02:Ready
worker-03:Ready",-,모두 정상 (6/6),critical,2025-12-04T07:46:19.337999
K8S-002,노드 CPU 사용량,Kubernetes,DEV,DEV Cluster,노드별 CPU 사용률,정상,"master-01:32%
worker-01:45%
worker-02:38%
worker-03:52%",80%,모든 노드 정상,high,2025-12-04T07:46:19.338005
K8S-003,노드 메모리 사용량,Kubernetes,DEV,DEV Cluster,노드별 메모리 사용률,정상,"master-01:58%
worker-01:62%
worker-02:55%
worker-03:71%",80%,모든 노드 정상,high,2025-12-04T07:46:19.338010
K8S-004,Control Plane Pod 상태,Kubernetes,DEV,DEV Cluster,kube-system 네임스페이스 Pod 상태,정상,"coredns-xxx:Running
etcd-master:Running
kube-apiserver:Running
kube-scheduler:Running",-,모든 시스템 Pod 정상,critical,2025-12-04T07:46:19.338015
K8S-005,etcd 상태,Kubernetes,DEV,DEV Cluster,etcd 클러스터 상태 확인,정상,"etcd-master-01:Running
etcd-master-02:Running
etcd-master-03:Running",-,etcd 클러스터 정상,critical,2025-12-04T07:46:19.338020
K8S-006,PV 상태,Kubernetes,DEV,DEV Cluster,PersistentVolume 바인딩 상태,정상,"pv-data-01:Bound
pv-data-02:Bound",-,모든 PV Bound,high,2025-12-04T07:46:19.338025
K8S-007,PVC 상태,Kubernetes,DEV,DEV Cluster,PersistentVolumeClaim 바인딩 상태,정상,"pvc-01:Bound
pvc-02:Bound",-,모든 PVC Bound,high,2025-12-04T07:46:19.338031
K8S-008,Warning 이벤트,Kubernetes,DEV,DEV Cluster,최근 Warning 이벤트 수,정상,5,20개,Warning 이벤트 정상 범위,medium,2025-12-04T07:46:19.338043
K8S-009,NotReady 노드,Kubernetes,DEV,DEV Cluster,NotReady 상태 노드 수,정상,0,-,NotReady 노드 없음,critical,2025-12-04T07:46:19.338051
K8S-010,클러스터 버전,Kubernetes,DEV,DEV Cluster,Kubernetes 클러스터 버전,정상,v1.28.4,-,버전 정보 확인,info,2025-12-04T07:46:19.338057
SVC-001,Deployment 상태,Services,DEV,DEV Services,모든 Deployment Ready 상태,정상,모두 정상,-,모든 Deployment 정상,high,2025-12-04T07:46:19.338072
SVC-002,StatefulSet 상태,Services,DEV,DEV Services,모든 StatefulSet Ready 상태,정상,모두 정상,-,모든 StatefulSet 정상,high,2025-12-04T07:46:19.338081
SVC-003,DaemonSet 상태,Services,DEV,DEV Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 DaemonSet 정상,high,2025-12-04T07:46:19.338088
SVC-004,Service Endpoints,Services,DEV,DEV Services,Endpoint 없는 Service 수,정상,0,-,Endpoint 없는 Service 없음,medium,2025-12-04T07:46:19.338096
SVC-005,Ingress 상태,Services,DEV,DEV Services,Ingress 리소스 수,정상,5,-,5개 Ingress 확인,info,2025-12-04T07:46:19.338104
SVC-006,Pod 재시작 과다,Services,DEV,DEV Services,재시작 5회 이상 Pod,정상,모두 정상,-,과다 재시작 Pod 없음,medium,2025-12-04T07:46:19.338112
SVC-007,Pending Pod,Services,DEV,DEV Services,Pending 상태 Pod 수,정상,0,-,Pending Pod 없음,high,2025-12-04T07:46:19.338119
SVC-008,Failed Pod,Services,DEV,DEV Services,Failed 상태 Pod 수,정상,0,-,Failed Pod 없음,critical,2025-12-04T07:46:19.338129
SVC-009,CronJob 상태,Services,DEV,DEV Services,CronJob 개수,정상,3,-,3개 CronJob 확인,info,2025-12-04T07:46:19.338136
SVC-010,Failed Job,Services,DEV,DEV Services,Failed 상태 Job 수,정상,0,-,Failed Job 없음,medium,2025-12-04T07:46:19.338143
DB-D1,MySQL 연결,Database,DEV,DEV DB #1,DB #1 MySQL 포트 연결 확인,정상,TCP 3306 Open,-,DB 연결 정상,critical,2025-12-04T07:46:19.338156
DB-D2,MySQL 연결,Database,DEV,DEV DB #2,DB #2 MySQL 포트 연결 확인,정상,TCP 3306 Open,-,DB 연결 정상,critical,2025-12-04T07:46:19.338164
OS-001,디스크 사용량,STG Master,STG,Master #1,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.338216
OS-002,메모리 사용량,STG Master,STG,Master #1,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.338224
OS-003,CPU 사용량,STG Master,STG,Master #1,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.338231
OS-004,시스템 업타임,STG Master,STG,Master #1,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.338238
OS-005,좀비 프로세스,STG Master,STG,Master #1,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.338245
OS-006,로드 애버리지,STG Master,STG,Master #1,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.338252
OS-007,Swap 사용량,STG Master,STG,Master #1,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.338259
OS-008,열린 파일 수,STG Master,STG,Master #1,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.338266
OS-009,네트워크 연결,STG Master,STG,Master #1,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.338273
OS-010,커널 버전,STG Master,STG,Master #1,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.338279
OS-001,디스크 사용량,STG Master,STG,Master #2,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.338286
OS-002,메모리 사용량,STG Master,STG,Master #2,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.338293
OS-003,CPU 사용량,STG Master,STG,Master #2,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.338300
OS-004,시스템 업타임,STG Master,STG,Master #2,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.338306
OS-005,좀비 프로세스,STG Master,STG,Master #2,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.338312
OS-006,로드 애버리지,STG Master,STG,Master #2,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.338319
OS-007,Swap 사용량,STG Master,STG,Master #2,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.338326
OS-008,열린 파일 수,STG Master,STG,Master #2,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.338333
OS-009,네트워크 연결,STG Master,STG,Master #2,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.338339
OS-010,커널 버전,STG Master,STG,Master #2,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.338346
OS-001,디스크 사용량,STG Master,STG,Master #3,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.338358
OS-002,메모리 사용량,STG Master,STG,Master #3,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.338366
OS-003,CPU 사용량,STG Master,STG,Master #3,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.338372
OS-004,시스템 업타임,STG Master,STG,Master #3,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.338376
OS-005,좀비 프로세스,STG Master,STG,Master #3,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.338381
OS-006,로드 애버리지,STG Master,STG,Master #3,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.338385
OS-007,Swap 사용량,STG Master,STG,Master #3,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.338394
OS-008,열린 파일 수,STG Master,STG,Master #3,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.338399
OS-009,네트워크 연결,STG Master,STG,Master #3,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.338403
OS-010,커널 버전,STG Master,STG,Master #3,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.338407
OS-001,디스크 사용량,STG Worker,STG,Worker #1,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.338411
OS-002,메모리 사용량,STG Worker,STG,Worker #1,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.338415
OS-003,CPU 사용량,STG Worker,STG,Worker #1,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.338419
OS-004,시스템 업타임,STG Worker,STG,Worker #1,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.338424
OS-005,좀비 프로세스,STG Worker,STG,Worker #1,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.338428
OS-006,로드 애버리지,STG Worker,STG,Worker #1,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.338432
OS-007,Swap 사용량,STG Worker,STG,Worker #1,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.338436
OS-008,열린 파일 수,STG Worker,STG,Worker #1,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.338440
OS-009,네트워크 연결,STG Worker,STG,Worker #1,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.338444
OS-010,커널 버전,STG Worker,STG,Worker #1,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.338448
OS-001,디스크 사용량,STG Worker,STG,Worker #2,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.338453
OS-002,메모리 사용량,STG Worker,STG,Worker #2,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.338457
OS-003,CPU 사용량,STG Worker,STG,Worker #2,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.338461
OS-004,시스템 업타임,STG Worker,STG,Worker #2,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.338475
OS-005,좀비 프로세스,STG Worker,STG,Worker #2,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.338479
OS-006,로드 애버리지,STG Worker,STG,Worker #2,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.338483
OS-007,Swap 사용량,STG Worker,STG,Worker #2,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.338487
OS-008,열린 파일 수,STG Worker,STG,Worker #2,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.338491
OS-009,네트워크 연결,STG Worker,STG,Worker #2,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.338495
OS-010,커널 버전,STG Worker,STG,Worker #2,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.338500
OS-001,디스크 사용량,STG Worker,STG,Worker #3,루트 파일시스템 디스크 사용률 확인,정상,45,80%,정상 범위,high,2025-12-04T07:46:19.338504
OS-002,메모리 사용량,STG Worker,STG,Worker #3,시스템 메모리 사용률 확인,정상,62.5,85%,정상 범위,high,2025-12-04T07:46:19.338508
OS-003,CPU 사용량,STG Worker,STG,Worker #3,CPU 평균 사용률 확인,정상,23,90%,정상 범위,high,2025-12-04T07:46:19.338514
OS-004,시스템 업타임,STG Worker,STG,Worker #3,시스템 가동 시간 확인,정상,"up 15 days, 4 hours",-,정상 가동 중,info,2025-12-04T07:46:19.338518
OS-005,좀비 프로세스,STG Worker,STG,Worker #3,좀비 프로세스 개수 확인,정상,0,-,좀비 프로세스 없음,medium,2025-12-04T07:46:19.338523
OS-006,로드 애버리지,STG Worker,STG,Worker #3,1분 평균 로드 확인,정상,1.25,8.0,정상 범위,medium,2025-12-04T07:46:19.338527
OS-007,Swap 사용량,STG Worker,STG,Worker #3,Swap 메모리 사용률 확인,정상,12.3,50%,정상 범위,medium,2025-12-04T07:46:19.338531
OS-008,열린 파일 수,STG Worker,STG,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,3456,100000개,정상 범위,low,2025-12-04T07:46:19.338535
OS-009,네트워크 연결,STG Worker,STG,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,128,2000개,정상 범위,low,2025-12-04T07:46:19.338539
OS-010,커널 버전,STG Worker,STG,Worker #3,현재 커널 버전 정보,정상,5.15.0-91-generic,-,커널 정보 확인,info,2025-12-04T07:46:19.338543
K8S-001,노드 상태,Kubernetes,STG,STG Cluster,모든 노드 Ready 상태 확인,정상,"master-01:Ready
master-02:Ready
master-03:Ready
worker-01:Ready
worker-02:Ready
worker-03:Ready",-,모두 정상 (6/6),critical,2025-12-04T07:46:19.338554
K8S-002,노드 CPU 사용량,Kubernetes,STG,STG Cluster,노드별 CPU 사용률,정상,"master-01:32%
worker-01:45%
worker-02:38%
worker-03:52%",80%,모든 노드 정상,high,2025-12-04T07:46:19.338559
K8S-003,노드 메모리 사용량,Kubernetes,STG,STG Cluster,노드별 메모리 사용률,정상,"master-01:58%
worker-01:62%
worker-02:55%
worker-03:71%",80%,모든 노드 정상,high,2025-12-04T07:46:19.338564
K8S-004,Control Plane Pod 상태,Kubernetes,STG,STG Cluster,kube-system 네임스페이스 Pod 상태,정상,"coredns-xxx:Running
etcd-master:Running
kube-apiserver:Running
kube-scheduler:Running",-,모든 시스템 Pod 정상,critical,2025-12-04T07:46:19.338568
K8S-005,etcd 상태,Kubernetes,STG,STG Cluster,etcd 클러스터 상태 확인,정상,"etcd-master-01:Running
etcd-master-02:Running
etcd-master-03:Running",-,etcd 클러스터 정상,critical,2025-12-04T07:46:19.338573
K8S-006,PV 상태,Kubernetes,STG,STG Cluster,PersistentVolume 바인딩 상태,정상,"pv-data-01:Bound
pv-data-02:Bound",-,모든 PV Bound,high,2025-12-04T07:46:19.338577
K8S-007,PVC 상태,Kubernetes,STG,STG Cluster,PersistentVolumeClaim 바인딩 상태,정상,"pvc-01:Bound
pvc-02:Bound",-,모든 PVC Bound,high,2025-12-04T07:46:19.338582
K8S-008,Warning 이벤트,Kubernetes,STG,STG Cluster,최근 Warning 이벤트 수,정상,5,20개,Warning 이벤트 정상 범위,medium,2025-12-04T07:46:19.338586
K8S-009,NotReady 노드,Kubernetes,STG,STG Cluster,NotReady 상태 노드 수,정상,0,-,NotReady 노드 없음,critical,2025-12-04T07:46:19.338591
K8S-010,클러스터 버전,Kubernetes,STG,STG Cluster,Kubernetes 클러스터 버전,정상,v1.28.4,-,버전 정보 확인,info,2025-12-04T07:46:19.338596
